City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,salanso,12.1833,-4.0833,30.02,61,84,4.72,BF,1691928000
339,jamestown,42.097,-79.2353,27.48,51,41,5.93,US,1691863200
340,vila velha,-20.3297,-40.2925,26.6,65,2,4.54,BR,1691938800
341,lorengau,-2.0226,147.2712,28.57,73,67,3.23,PG,1692079200
342,umba,66.6871,34.3429,19.15,64,31,1.78,RU,1691755200
343,oakdale,44.963,-92.9649,32.35,19,5,5.59,US,1691874000
344,rongelap,11.1635,166.8941,28.77,75,100,5.39,MH,1692079200
345,guarapari,-20.6667,-40.4975,27.36,55,13,6.8,BR,1691852400
346,suntar,62.1444,117.6319,29.73,38,99,3.87,RU,1691733600
347,oktyabr'skoye,43.0645,44.7417,35.44,36,1,1.98,RU,1691755200
348,brisas de zicatela,15.8369,-97.0419,31.64,66,78,4.54,MX,1691776800
349,yaren,-0.5472,166.916,29.32,69,93,5.99,NR,1691895600
350,secunda,-26.55,29.1667,25.17,14,75,7.5,ZA,1692100800
351,jyvaskyla,62.2415,25.7209,23.8,45,24,3.64,FI,1692100800
352,mount darwin,-16.7725,31.5838,32.85,16,0,1.47,ZW,1692100800
353,mandalgovi,45.7625,106.2708,33.13,13,10,3.97,MN,1691917200
354,ariquemes,-9.9133,-63.0408,38.31,30,72,2.31,BR,1691690400
355,sittwe,20.15,92.9,28.44,77,91,2.17,MM,1691733600
356,kargil,34.5667,76.1,24.39,21,5,2.85,IN,1691841600
357,chegutu,-18.1302,30.1407,31.76,12,3,1.51,ZW,1692100800
358,praia da vitoria,38.7333,-27.0667,24.84,77,74,1.81,PT,1692025200
359,kodinsk,58.6881,99.1844,26.85,35,83,2.0,RU,1691744400
360,crane,31.3974,-102.3501,41.58,17,1,3.88,US,1691701200
361,muncie,40.1934,-85.3864,30.67,57,97,2.7,US,1691960400
362,franeker,53.1855,5.5412,22.0,73,16,5.91,NL,1691755200
